user_id,item_id,rating,interaction_type,timestamp
101,i1,4,view,2024-01-02 09:00:00
101,i2,5,click,2024-01-05 12:10:00
101,i6,5,purchase,2024-01-10 18:00:00
101,i9,4,rating,2024-01-16 20:30:00
102,i3,5,purchase,2024-01-03 11:15:00
102,i7,4,view,2024-01-06 14:45:00
102,i5,4,click,2024-01-12 17:20:00
102,i10,3,rating,2024-01-19 08:30:00
103,i4,5,purchase,2024-01-04 10:00:00
103,i11,5,click,2024-01-08 13:05:00
103,i6,4,view,2024-01-13 21:10:00
103,i2,5,rating,2024-01-20 19:00:00
104,i8,4,view,2024-01-02 15:30:00
104,i12,5,click,2024-01-07 09:25:00
104,i1,4,view,2024-01-14 16:40:00
104,i7,5,purchase,2024-01-21 11:50:00
105,i5,5,purchase,2024-01-03 18:45:00
105,i10,4,view,2024-01-09 12:30:00
105,i12,4,click,2024-01-15 14:55:00
105,i3,5,rating,2024-01-22 20:05:00
106,i6,5,purchase,2024-01-04 08:20:00
106,i9,5,click,2024-01-10 11:35:00
106,i2,4,view,2024-01-16 17:00:00
106,i11,4,rating,2024-01-23 13:45:00
107,i7,5,purchase,2024-01-05 20:15:00
107,i4,4,view,2024-01-11 10:40:00
107,i8,4,click,2024-01-17 15:10:00
107,i1,3,rating,2024-01-24 09:10:00
108,i2,5,purchase,2024-01-06 09:05:00
108,i6,4,click,2024-01-12 16:25:00
108,i9,4,view,2024-01-18 19:30:00
108,i12,5,rating,2024-01-25 12:15:00
109,i11,5,purchase,2024-01-07 14:20:00
109,i3,4,view,2024-01-13 08:55:00
109,i5,4,click,2024-01-19 18:10:00
109,i4,5,rating,2024-01-26 10:40:00
110,i10,5,purchase,2024-01-08 07:50:00
110,i1,4,view,2024-01-14 11:20:00
110,i8,4,click,2024-01-20 16:45:00
110,i7,5,rating,2024-01-27 14:00:00